"Name","DisplayName","Status","StartType"
"AarSvc_69440","Agent Activation Runtime_69440","Stopped","Manual"
"AJRouter","Servicio de enrutador de AllJoyn","Stopped","Manual"
"ALG","Servicio de puerta de enlace de nivel de aplicaci?n","Stopped","Manual"
"AMD Crash Defender Service","AMD Crash Defender Service","Running","Automatic"
"AMD External Events Utility","AMD External Events Utility","Running","Automatic"
"AntiCheatExpert Service","AntiCheatExpert Service","Stopped","Manual"
"AppIDSvc","Identidad de aplicaci?n","Stopped","Manual"
"Appinfo","Informaci?n de la aplicaci?n","Running","Manual"
"AppMgmt","Administraci?n de aplicaciones","Stopped","Manual"
"AppReadiness","Preparaci?n de aplicaciones","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual"
"AudioEndpointBuilder","Compilador de extremo de audio de Windows","Running","Automatic"
"Audiosrv","Audio de Windows","Running","Automatic"
"AUEPLauncher","AMD User Experience Program Data Uploader","Running","Automatic"
"autotimesvc","Hora de la red de telefon?a m?vil","Stopped","Manual"
"AxInstSV","Instalador de ActiveX (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_69440","GameDVR and Broadcast User Service_69440","Stopped","Manual"
"BDESVC","Servicio Cifrado de unidad BitLocker","Stopped","Manual"
"BEService","BattlEye Service","Stopped","Manual"
"BFE","Motor de filtrado de base","Running","Automatic"
"BITS","Servicio de transferencia inteligente en segundo plano (BITS)","Running","Automatic"
"BluetoothUserService_69440","Bluetooth User Support Service_69440","Running","Manual"
"BrokerInfrastructure","Servicio de infraestructura de tareas en segundo plano","Running","Automatic"
"BTAGService","Servicio de puerta de enlace de audio de Bluetooth","Running","Manual"
"BthAvctpSvc","Servicio AVCTP","Running","Manual"
"bthserv","Servicio de compatibilidad con Bluetooth","Running","Manual"
"camsvc","Servicio Administrador de funcionalidad de acceso","Stopped","Manual"
"CaptureService_69440","CaptureService_69440","Running","Manual"
"cbdhsvc_69440","Clipboard User Service_69440","Running","Manual"
"CDPSvc","Servicio de plataforma de dispositivos conectados","Running","Automatic"
"CDPUserSvc_69440","Connected Devices Platform User Service_69440","Running","Automatic"
"CertPropSvc","Propagaci?n de certificados","Stopped","Manual"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Automatic"
"ClipSVC","Servicio de licencia de cliente (ClipSVC)","Running","Manual"
"cloudidsvc","Servicio de identidad en la nube de Microsoft","Stopped","Manual"
"COMSysApp","Aplicaci?n del sistema COM+","Stopped","Manual"
"ConsentUxUserSvc_69440","ConsentUX_69440","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_69440","CredentialEnrollmentManagerUserSvc_69440","Stopped","Manual"
"CryptSvc","Servicios de cifrado","Running","Automatic"
"CscService","Offline Files","Stopped","Manual"
"DcomLaunch","Iniciador de procesos de servidor DCOM","Running","Automatic"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual"
"defragsvc","Optimizar unidades","Stopped","Manual"
"DeviceAssociationBrokerSvc_69440","DeviceAssociationBroker_69440","Stopped","Manual"
"DeviceAssociationService","Servicio de asociaci?n de dispositivos","Running","Manual"
"DeviceInstall","Servicio de instalaci?n de dispositivos","Running","Manual"
"DevicePickerUserSvc_69440","DevicePicker_69440","Stopped","Manual"
"DevicesFlowUserSvc_69440","DevicesFlow_69440","Stopped","Manual"
"DevQueryBroker","Agente de detecci?n en segundo plano de DevQuery","Stopped","Manual"
"Dhcp","Cliente DHCP","Running","Automatic"
"diagnosticshub.standardcollector.service","Servicio Recopilador est?ndar del concentrador de diagn?sticos de Microsoft (R)","Stopped","Manual"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Experiencia del usuario y telemetr?a asociadas","Running","Automatic"
"DialogBlockingService","DialogBlockingService","Stopped","Disabled"
"DispBrokerDesktopSvc","Mostrar el servicio de directivas","Running","Automatic"
"DisplayEnhancementService","Servicio de mejora de visualizaci?n","Stopped","Manual"
"DmEnrollmentSvc","Servicio de inscripci?n de administraci?n de dispositivos","Stopped","Manual"
"dmwappushservice","Servicio de enrutamiento de mensajes de inserci?n del Protocolo de aplicaci?n inal?mbrica (WAP) de administraci?n de dispositivos","Stopped","Manual"
"Dnscache","Cliente DNS","Running","Automatic"
"DoSvc","Optimizaci?n de distribuci?n","Running","Automatic"
"dot3svc","Configuraci?n autom?tica de redes cableadas","Stopped","Manual"
"DPS","Servicio de directivas de diagn?stico","Running","Automatic"
"DsmSvc","Administrador de configuraci?n de dispositivos","Running","Manual"
"DsSvc","Servicio de uso compartido de datos","Running","Manual"
"DusmSvc","Uso de datos","Running","Automatic"
"EABackgroundService","EABackgroundService","Stopped","Manual"
"Eaphost","Protocolo de autenticaci?n extensible","Stopped","Manual"
"EasyAntiCheat","EasyAntiCheat","Stopped","Manual"
"EasyAntiCheat_EOS","Easy Anti-Cheat (Epic Online Services)","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Sistema de cifrado de archivos (EFS)","Running","Manual"
"embeddedmode","Modo incrustado","Stopped","Manual"
"EntAppSvc","Servicio de administraci?n de aplicaciones de empresa","Stopped","Manual"
"EpicOnlineServices","Epic Online Services","Stopped","Manual"
"EventLog","Registro de eventos de Windows","Running","Automatic"
"EventSystem","Sistema de eventos COM+","Running","Automatic"
"Fax","Fax","Stopped","Manual"
"fdPHost","Host de proveedor de detecci?n de funci?n","Stopped","Manual"
"FDResPub","Publicaci?n de recurso de detecci?n de funci?n","Stopped","Manual"
"fhsvc","File History Service","Stopped","Manual"
"FileSyncHelper","FileSyncHelper","Stopped","Manual"
"FontCache","Servicio de cach? de fuentes de Windows","Running","Automatic"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"FrameServer","Servicio FrameServer de la C?mara de Windows","Stopped","Manual"
"GameInput Service","GameInput Service","Stopped","Automatic"
"GameInputSvc","GameInput Service","Stopped","Manual"
"GamingServices","Gaming Services","Running","Automatic"
"GamingServicesNet","Gaming Services","Running","Automatic"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual"
"GoogleUpdaterInternalService130.0.6679.0","GoogleUpdater InternalService 130.0.6679.0 (GoogleUpdaterInternalService130.0.6679.0)","Stopped","Automatic"
"GoogleUpdaterService130.0.6679.0","GoogleUpdater Service 130.0.6679.0 (GoogleUpdaterService130.0.6679.0)","Stopped","Automatic"
"gpsvc","Cliente de directiva de grupo","Running","Automatic"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual"
"gupdate","Google Update Servicio (gupdate)","Stopped","Automatic"
"gupdatem","Google Update Servicio (gupdatem)","Stopped","Manual"
"hidserv","Servicio de dispositivo de interfaz humana","Running","Manual"
"HvHost","Servicio de host HV","Stopped","Manual"
"icssvc","Servicio de punto de conexi?n de Windows Mobile","Stopped","Manual"
"IKEEXT","M?dulos de creaci?n de claves de IPsec para IKE y AuthIP","Running","Automatic"
"InstallService","Servicio de instalaci?n de Microsoft Store","Running","Manual"
"iphlpsvc","Aplicaci?n auxiliar IP","Running","Automatic"
"IpxlatCfgSvc","Servicio de configuraci?n de traslaci?n de IP","Stopped","Manual"
"KeyIso","Aislamiento de claves CNG","Running","Manual"
"KtmRm","KTMRM para DTC (Coordinador de transacciones distribuidas)","Stopped","Manual"
"LanmanServer","Servidor","Running","Automatic"
"LanmanWorkstation","Estaci?n de trabajo","Running","Automatic"
"lfsvc","Servicio de geolocalizaci?n","Running","Manual"
"LicenseManager","Servicio de administrador de licencias de Windows","Running","Manual"
